@relation glass
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute TypeGlass {1, 2, 3, 4, 5, 6, 7}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs TypeGlass
@data
1.51755118, 13.39, 3.65935, 1.1888, 72.7892, 0.57132, 8.27064, 0.0, 0.0561, 1
1.51215232, 12.991, 3.47077, 1.12139, 72.9796, 0.621, 8.34596, 0.0, 0.1581, 1
1.51793844, 12.7915, 3.5022, 1.12139, 73.03, 0.63963, 8.7656, 0.0, 0.0, 1
1.5178701, 12.73165, 3.43036, 1.1888, 72.9516, 0.621, 8.75484, 0.0, 0.153, 1
1.51748284, 12.858, 3.56057, 1.26905, 73.2092, 0.54027, 8.37824, 0.0, 0.0867, 1
1.51768786, 12.65185, 3.56057, 1.30115, 73.0804, 0.60858, 8.69028, 0.0, 0.0714, 1
1.51905466, 13.6028, 3.61894, 1.10855, 72.638, 0.14283, 8.75484, 0.0, 0.0, 1
1.51789288, 13.1905, 3.90181, 1.30115, 72.33, 0.55269, 8.4428, 0.0, 0.1428, 2
1.5159338, 13.09075, 3.592, 1.51943, 73.0972, 0.67068, 7.82948, 0.0, 0.0, 2
1.51632106, 13.3368, 3.56955, 1.57079, 72.8676, 0.60858, 7.89404, 0.0, 0.0, 2
1.51812068, 13.33015, 3.84793, 1.24979, 72.778, 0.52164, 8.12, 0.0, 0.0, 2
1.51591102, 12.8181, 3.52016, 1.90142, 72.862, 0.68931, 7.96936, 0.0, 0.0, 2
1.51595658, 13.0176, 3.56057, 1.53869, 73.1084, 0.72036, 7.9048, 0.0, 0.0, 2
1.51846238, 13.40995, 3.88834, 1.33004, 72.3804, 0.50922, 8.2814, 0.0, 0.0, 2
1.52067204, 13.5496, 2.08785, 1.6703, 72.1788, 0.52785, 9.5726, 0.2709, 0.0867, 2
1.51645774, 13.03755, 3.39893, 1.25942, 73.0076, 0.52164, 8.58268, 0.0, 0.0, 3
1.5215149, 11.02925, 1.71069, 1.56116, 73.4388, 0.57753, 11.617, 0.0, 0.0, 5
1.51994308, 13.2703, 0.0, 1.76018, 73.03, 0.47196, 11.31572, 0.0, 0.0, 5
1.51887242, 14.99265, 0.78126, 1.74092, 72.498, 0.0, 9.9492, 0.0, 0.0, 6
1.52064926, 14.3609, 0.0, 2.02019, 73.422, 0.0, 8.4428, 1.64115, 0.0, 7
1.5151365, 14.853, 0.0, 2.42144, 73.7188, 0.0, 8.389, 0.5607, 0.0, 7
1.52247166, 14.85965, 2.2001, 2.05871, 70.258, 0.75762, 9.75552, 0.0, 0.0, 7
