@relation magic-2
@attribute FLength real [4.2835, 334.177]
@attribute FWidth real [0.0, 256.382]
@attribute FSize real [1.9413, 5.3233]
@attribute FConc real [0.0131, 0.893]
@attribute FConc1 real [3.0E-4, 0.6752]
@attribute FAsym real [-457.9161, 575.2407]
@attribute FM3Long real [-331.78, 238.321]
@attribute FM3Trans real [-205.8947, 179.851]
@attribute FAlpha real [0.0, 90.0]
@attribute FDist real [1.2826, 495.561]
@attribute Class {g, h}
@inputs FLength, FWidth, FSize, FConc, FConc1, FAsym, FM3Long, FM3Trans, FAlpha, FDist
@outputs Class
@data
162.052, 136.031, 4.0612, 0.0374, 0.0187, 116.741, -64.858, -45.216, 76.96, 256.788, g
23.8172, 9.5728, 2.3385, 0.6147, 0.3922, 27.2107, -6.4633, -7.1513, 10.449, 116.737, g
48.2468, 17.3565, 3.0332, 0.2529, 0.1515, 8.573, 38.0957, 10.5868, 4.792, 219.087, g
60.458, 33.1061, 3.1944, 0.4679, 0.2464, 14.3, -33.8765, 28.8315, 8.292, 372.568, g
27.2304, 19.2817, 2.6375, 0.371, 0.2039, 23.0406, 23.3428, 9.7216, 77.5379, 104.283, g
63.2886, 26.427, 3.4434, 0.2342, 0.1273, -27.3566, 54.6506, 19.7834, 0.9753, 302.897, g
92.8723, 25.685, 3.1553, 0.242, 0.1619, -25.5033, 51.797, -19.0013, 7.7301, 304.585, g
66.1331, 25.9259, 3.1984, 0.1495, 0.075, 42.2957, 50.5528, -12.7104, 11.5159, 160.519, g
21.8344, 6.832, 2.1804, 0.7063, 0.3531, 25.981, -0.1704, 6.6103, 35.4993, 95.7374, g
60.0261, 12.245, 2.8052, 0.26, 0.1433, 3.5656, 55.2047, 8.5485, 1.3841, 230.089, g
23.4494, 16.2843, 2.5605, 0.4539, 0.2655, -8.8017, -15.9867, 10.389, 83.8081, 235.203, g
25.0275, 12.8142, 2.5391, 0.4884, 0.3078, -12.5331, -8.9993, 12.3285, 65.2451, 72.7386, g
23.6924, 8.8987, 2.3181, 0.6683, 0.4543, 23.9812, 14.1032, -7.0892, 27.014, 128.707, g
