@relation penbased-3
@attribute At1 integer [0, 100]
@attribute At2 integer [0, 100]
@attribute At3 integer [0, 100]
@attribute At4 integer [0, 100]
@attribute At5 integer [0, 100]
@attribute At6 integer [0, 100]
@attribute At7 integer [0, 100]
@attribute At8 integer [0, 100]
@attribute At9 integer [0, 100]
@attribute At10 integer [0, 100]
@attribute At11 integer [0, 100]
@attribute At12 integer [0, 100]
@attribute At13 integer [0, 100]
@attribute At14 integer [0, 100]
@attribute At15 integer [0, 100]
@attribute At16 integer [0, 100]
@attribute Class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs At1, At2, At3, At4, At5, At6, At7, At8, At9, At10, At11, At12, At13, At14, At15, At16
@outputs Class
@data
12, 77, 20, 62, 78, 40, 50, 0, 1, 17, 0, 64, 23, 98, 100, 100, 5
100, 84, 31, 100, 0, 88, 8, 70, 15, 53, 15, 35, 0, 17, 0, 0, 1
29, 91, 14, 57, 66, 39, 30, 0, 0, 19, 3, 72, 39, 97, 100, 100, 5
77, 97, 40, 100, 0, 59, 9, 29, 84, 33, 100, 64, 77, 44, 48, 0, 4
0, 93, 62, 100, 100, 78, 69, 43, 50, 5, 35, 0, 15, 35, 86, 37, 7
56, 99, 18, 72, 0, 24, 36, 0, 85, 23, 100, 69, 58, 100, 19, 74, 0
0, 75, 47, 87, 100, 100, 91, 80, 72, 60, 53, 40, 35, 20, 19, 0, 1
20, 82, 62, 100, 100, 81, 68, 54, 82, 50, 89, 19, 42, 0, 0, 13, 3
100, 100, 58, 83, 31, 55, 17, 24, 43, 0, 80, 19, 50, 43, 0, 39, 6
94, 79, 40, 100, 13, 65, 59, 30, 67, 0, 0, 17, 45, 52, 100, 83, 8
31, 73, 55, 100, 55, 53, 33, 14, 0, 0, 30, 11, 65, 1, 100, 1, 2
18, 88, 2, 54, 40, 25, 2, 0, 0, 30, 20, 70, 45, 100, 100, 93, 5
100, 89, 40, 83, 63, 40, 84, 0, 0, 7, 53, 53, 80, 100, 3, 78, 8
96, 100, 52, 95, 48, 76, 96, 98, 100, 85, 71, 54, 39, 25, 0, 0, 9
30, 98, 16, 60, 53, 28, 46, 0, 13, 29, 0, 68, 27, 95, 100, 100, 5
2, 78, 46, 99, 100, 100, 77, 76, 94, 38, 94, 0, 41, 3, 0, 28, 3
37, 84, 69, 100, 96, 87, 55, 61, 88, 38, 100, 9, 51, 0, 0, 3, 3
21, 75, 40, 100, 85, 94, 67, 63, 100, 43, 95, 11, 47, 0, 0, 13, 3
84, 100, 46, 98, 13, 60, 0, 19, 53, 0, 100, 32, 33, 36, 10, 4, 6
39, 62, 78, 88, 79, 100, 57, 64, 38, 30, 0, 0, 34, 4, 100, 0, 1
0, 78, 18, 96, 59, 95, 100, 100, 86, 82, 66, 56, 52, 29, 47, 0, 7
79, 74, 21, 67, 15, 92, 71, 100, 100, 75, 73, 45, 36, 18, 0, 0, 9
30, 100, 4, 67, 0, 24, 30, 0, 66, 11, 95, 41, 100, 82, 64, 93, 0
100, 96, 71, 100, 42, 79, 49, 56, 91, 51, 82, 16, 42, 0, 0, 1, 5
67, 100, 36, 82, 0, 60, 5, 37, 66, 38, 100, 50, 73, 25, 56, 0, 4
0, 61, 22, 89, 59, 100, 72, 73, 53, 42, 31, 12, 58, 0, 100, 4, 2
12, 73, 29, 62, 66, 32, 29, 0, 5, 29, 0, 71, 38, 96, 100, 100, 5
44, 80, 80, 100, 100, 85, 72, 59, 92, 38, 93, 14, 49, 3, 0, 0, 3
100, 100, 52, 80, 20, 52, 6, 20, 45, 0, 99, 12, 59, 30, 0, 25, 6
0, 82, 25, 100, 52, 73, 44, 34, 32, 0, 0, 29, 50, 34, 100, 39, 7
100, 75, 95, 100, 24, 81, 38, 44, 69, 8, 0, 0, 45, 33, 96, 64, 8
86, 100, 0, 95, 32, 56, 100, 22, 30, 0, 5, 36, 80, 68, 52, 99, 8
13, 100, 8, 93, 0, 66, 8, 41, 57, 40, 100, 50, 82, 25, 69, 0, 4
28, 55, 63, 78, 100, 100, 75, 71, 56, 42, 35, 13, 0, 0, 25, 0, 1
74, 100, 30, 76, 0, 50, 55, 49, 100, 72, 77, 56, 52, 28, 35, 0, 4
10, 86, 0, 44, 33, 0, 80, 9, 100, 65, 64, 100, 22, 74, 32, 20, 0
0, 85, 32, 100, 76, 91, 70, 65, 38, 43, 11, 20, 50, 6, 100, 0, 2
93, 100, 5, 96, 42, 65, 85, 32, 58, 0, 0, 14, 36, 47, 100, 74, 8
100, 100, 44, 91, 7, 60, 0, 24, 46, 0, 99, 24, 41, 30, 19, 0, 6
0, 83, 37, 100, 81, 90, 65, 61, 100, 45, 97, 15, 54, 0, 14, 7, 3
11, 50, 0, 16, 38, 0, 79, 8, 100, 46, 76, 84, 37, 100, 0, 84, 0
100, 100, 51, 85, 18, 58, 0, 28, 17, 0, 78, 1, 68, 20, 8, 12, 6
0, 82, 47, 100, 75, 72, 52, 35, 22, 0, 16, 22, 41, 48, 100, 52, 7
15, 100, 8, 70, 0, 39, 19, 20, 78, 21, 100, 43, 76, 30, 72, 0, 4
100, 100, 26, 97, 1, 66, 45, 33, 29, 0, 0, 26, 38, 61, 87, 93, 8
73, 98, 0, 95, 16, 60, 84, 29, 70, 0, 45, 35, 100, 69, 88, 100, 8
0, 83, 11, 100, 56, 93, 53, 67, 66, 42, 100, 20, 73, 1, 16, 0, 3
22, 75, 47, 100, 74, 82, 47, 53, 84, 44, 100, 17, 54, 0, 0, 9, 3
100, 97, 50, 100, 12, 88, 6, 48, 37, 47, 78, 25, 50, 0, 0, 2, 5
0, 99, 51, 100, 100, 96, 72, 59, 56, 16, 41, 0, 24, 39, 81, 50, 7
42, 79, 67, 100, 78, 79, 71, 60, 100, 39, 85, 10, 41, 0, 0, 14, 3
15, 90, 57, 100, 82, 85, 60, 62, 100, 47, 86, 23, 44, 8, 0, 0, 3
100, 100, 59, 73, 26, 45, 0, 15, 33, 0, 97, 18, 81, 38, 9, 28, 6
100, 77, 58, 100, 16, 69, 0, 27, 40, 0, 93, 15, 95, 58, 53, 89, 0
27, 100, 0, 64, 4, 8, 63, 0, 100, 46, 73, 96, 12, 79, 0, 25, 0
100, 100, 66, 94, 38, 70, 15, 45, 0, 18, 26, 0, 55, 16, 11, 24, 6
93, 100, 52, 82, 19, 52, 12, 18, 60, 0, 100, 21, 44, 32, 0, 10, 6
0, 75, 8, 100, 40, 91, 28, 59, 7, 31, 13, 8, 56, 5, 100, 0, 2
0, 64, 48, 80, 100, 100, 95, 87, 76, 65, 67, 43, 57, 22, 71, 0, 1
