@relation .a/segment-3/segment-3
@attribute Region-centroid-col real [1.0, 254.0]
@attribute Region-centroid-row real [11.0, 251.0]
@attribute Region-pixel-count real [9.0, 10.0]
@attribute Short-line-density-5 real [0.0, 0.33333334]
@attribute Short-line-density-2 real [0.0, 0.22222222]
@attribute Vedge-mean real [0.0, 29.222221]
@attribute Vegde-sd real [0.0, 991.7184]
@attribute Hedge-mean real [0.0, 44.722225]
@attribute Hedge-sd real [-1.5894573E-8, 1386.3292]
@attribute Intensity-mean real [0.0, 143.44444]
@attribute Rawred-mean real [0.0, 137.11111]
@attribute Rawblue-mean real [0.0, 150.88889]
@attribute Rawgreen-mean real [0.0, 142.55556]
@attribute Exred-mean real [-49.666668, 9.888889]
@attribute Exblue-mean real [-12.444445, 82.0]
@attribute Exgreen-mean real [-33.88889, 24.666666]
@attribute Value-mean real [0.0, 150.88889]
@attribute Saturatoin-mean real [0.0, 1.0]
@attribute Hue-mean real [-3.0441751, 2.9124804]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@inputs Region-centroid-col, Region-centroid-row, Region-pixel-count, Short-line-density-5, Short-line-density-2, Vedge-mean, Vegde-sd, Hedge-mean, Hedge-sd, Intensity-mean, Rawred-mean, Rawblue-mean, Rawgreen-mean, Exred-mean, Exblue-mean, Exgreen-mean, Value-mean, Saturatoin-mean, Hue-mean
@outputs Class
@data
69.0, 85.0, 9.0, 0.11111111, 0.0, 3.1111114, 8.207409, 3.944444, 9.440739, 21.444445, 20.444445, 28.11111, 15.777778, -3.0, 20.0, -17.0, 28.11111, 0.43740398, -1.6598793, 1
243.0, 120.0, 9.0, 0.0, 0.0, 4.4444447, 4.359749, 1.5555547, 1.8338387, 47.851852, 44.77778, 56.333332, 42.444443, -9.222222, 25.444445, -16.222221, 56.333332, 0.2453213, -1.9107349, 4
160.0, 41.0, 9.0, 0.0, 0.0, 0.8333333, 0.8096638, 0.22222225, 0.17213258, 0.7037037, 0.5555556, 1.2222222, 0.33333334, -0.44444445, 1.5555556, -1.1111112, 1.2222222, 0.537037, -1.8451205, 5
96.0, 13.0, 9.0, 0.0, 0.0, 0.8333308, 0.47777966, 0.55555725, 0.20740579, 131.77777, 122.111115, 144.77777, 128.44444, -29.0, 39.0, -10.0, 144.77777, 0.1565683, -2.386251, 2
97.0, 130.0, 9.0, 0.0, 0.0, 0.72222215, 0.50740737, 1.0555556, 0.685185, 5.851852, 7.3333335, 6.888889, 3.3333333, 4.4444447, 3.1111112, -7.5555553, 7.6666665, 0.5701058, -0.96304834, 1
98.0, 41.0, 9.0, 0.0, 0.0, 1.7222265, 0.77407277, 1.1111145, 0.87406844, 137.14815, 130.66667, 147.22223, 133.55556, -19.444445, 30.222221, -10.777778, 147.22223, 0.112421244, -2.2685292, 2
23.0, 85.0, 9.0, 0.0, 0.0, 1.4444445, 1.0518525, 1.777778, 0.96296287, 17.962963, 18.88889, 21.88889, 13.111111, 2.7777777, 11.777778, -14.555555, 21.88889, 0.39975148, -1.386867, 1
14.0, 28.0, 9.0, 0.0, 0.0, 0.55555344, 0.07407452, 1.2222214, 0.4296262, 110.48148, 97.888885, 131.11111, 102.44444, -37.77778, 61.88889, -24.11111, 131.11111, 0.25329855, -2.238865, 2
4.0, 96.0, 9.0, 0.0, 0.0, 2.222222, 2.9629638, 1.5555555, 2.2518516, 3.5555556, 0.8888889, 7.7777777, 2.0, -8.0, 12.666667, -4.6666665, 7.7777777, 0.91006523, -2.2444818, 3
166.0, 154.0, 9.0, 0.0, 0.0, 0.11111113, 0.029629637, 0.44444445, 0.074074075, 0.7037037, 0.22222222, 1.8888888, 0.0, -1.4444444, 3.5555556, -2.1111112, 1.8888888, 1.0, -2.0175102, 5
